Timp sistem,octeti specifici (Wh)
14:52:17.436,0000004203 Wh
14:52:18.441,0000004203 Wh
14:52:19.436,0000004203 Wh
14:52:20.437,0000004203 Wh
14:52:21.766,0000004204 Wh
14:52:22.441,0000004204 Wh
14:52:23.446,0000004204 Wh
14:52:24.436,0000004204 Wh
14:52:25.449,0000004204 Wh
14:52:26.776,0000004204 Wh
14:52:27.450,0000004204 Wh
14:52:28.456,0000004204 Wh
14:52:29.446,0000004204 Wh
14:52:30.457,0000004204 Wh
14:52:31.782,0000004204 Wh
14:52:32.456,0000004204 Wh
14:52:33.456,0000004204 Wh
14:52:34.468,0000004204 Wh
14:52:35.456,0000004204 Wh
14:52:36.792,0000004204 Wh
14:52:37.461,0000004204 Wh
14:52:38.466,0000004204 Wh
14:52:39.476,0000004204 Wh
14:52:40.466,0000004204 Wh
14:52:41.813,0000004204 Wh
14:52:42.466,0000004204 Wh
14:52:43.476,0000004204 Wh
14:52:44.486,0000004204 Wh
14:52:45.476,0000004204 Wh
14:52:46.806,0000004204 Wh
14:52:47.487,0000004204 Wh
14:52:48.486,0000004204 Wh
14:52:49.491,0000004204 Wh
14:52:50.498,0000004204 Wh
14:52:51.806,0000004204 Wh
14:52:52.496,0000004204 Wh
14:52:53.491,0000004204 Wh
14:52:54.496,0000004204 Wh
14:52:55.506,0000004204 Wh
14:52:56.836,0000004204 Wh
14:52:57.506,0000004204 Wh
14:52:58.516,0000004204 Wh
14:52:59.507,0000004204 Wh
14:53:00.516,0000004204 Wh
14:53:01.846,0000004204 Wh
14:53:02.513,0000004204 Wh
14:53:03.521,0000004204 Wh
14:53:04.506,0000004204 Wh
14:53:05.522,0000004205 Wh
14:53:06.847,0000004205 Wh
14:53:07.520,0000004205 Wh
14:53:08.526,0000004205 Wh
14:53:09.516,0000004205 Wh
14:53:10.526,0000004205 Wh
14:53:11.856,0000004205 Wh
14:53:12.526,0000004205 Wh
14:53:13.536,0000004205 Wh
14:53:14.541,0000004205 Wh
14:53:15.536,0000004205 Wh
14:53:16.861,0000004205 Wh
14:53:17.537,0000004205 Wh
14:53:18.541,0000004205 Wh
14:53:19.546,0000004205 Wh
14:53:20.541,0000004205 Wh
14:53:21.866,0000004205 Wh
14:53:22.556,0000004205 Wh
14:53:23.552,0000004205 Wh
14:53:24.556,0000004205 Wh
14:53:25.551,0000004205 Wh
14:53:26.896,0000004205 Wh
14:53:27.566,0000004205 Wh
14:53:28.559,0000004205 Wh
14:53:29.566,0000004205 Wh
14:53:30.556,0000004205 Wh
14:53:31.896,0000004205 Wh
14:53:32.573,0000004205 Wh
14:53:33.566,0000004205 Wh
14:53:34.570,0000004205 Wh
14:53:35.576,0000004205 Wh
14:53:36.907,0000004205 Wh
14:53:37.576,0000004205 Wh
14:53:38.586,0000004205 Wh
14:53:39.576,0000004205 Wh
14:53:40.586,0000004205 Wh
14:53:41.916,0000004205 Wh
14:53:42.587,0000004205 Wh
14:53:43.596,0000004205 Wh
14:53:44.586,0000004205 Wh
14:53:45.596,0000004205 Wh
14:53:46.906,0000004206 Wh
14:53:47.596,0000004206 Wh
14:53:48.596,0000004206 Wh
14:53:49.593,0000004206 Wh
14:53:50.609,0000004206 Wh
14:53:51.930,0000004206 Wh
14:53:52.607,0000004206 Wh
14:53:53.611,0000004206 Wh
14:53:54.596,0000004206 Wh
14:53:55.606,0000004206 Wh
14:53:56.938,0000004206 Wh
14:53:57.606,0000004206 Wh
14:53:58.616,0000004206 Wh
14:53:59.606,0000004206 Wh
14:54:00.616,0000004206 Wh
14:54:01.946,0000004206 Wh
